Time,Males_Fattasha,Females_Fattasha,Parous_F_Fattasha ,Males_Nile ,Females_Nile ,Parous_F_Nile ,Dry_F,Wet_N,Dry_All,Wet_All
15.5,0,17,0,1,4,75,0,3,17,
46.5,0,19,0,0,3,33,0,0.99,19,
77.5,0,18,0,1,2,50,0,1,18,
108.5,0,8,0,1,3,67,0,2.01,8,
139.5,0,10,0,0,3,33,0,0.99,10,
170.5,0,8,0,1,5,60,0,3,8,
201.5,0,9,0,1,2,100,0,2,9,
232.5,0,10,0,0,2,50,0,1,10,
263.5,0,16,0,1,15,40,0,6,16,
294.5,17,327,31,7,106,37,101.37,39.22,225.63,
325.5,5,109,46,11,69,62,50.14,42.78,58.86,
356.5,3,64,65,1,31,58,41.6,17.98,22.4,
387.5,0,11,10,0,7,28,1.1,1.96,9.9,
418.5,0,13,0,1,4,25,0,1,13,
