Time,Control,Treated
13.9497,31.2013,37.7406
79.6203,3.93039,3.63681
110.663,1.78598,1.8111
142.573,1.20656,1.19753
169.378,0.723758,0.634966
198.316,0.730448,0.730448
221.314,2.49616,8.82932
252.787,0.743042,0.747487
262.149,0.745207,0.869005
274.922,1.33496,1.62462
285.563,1.53302,1.53302
292.797,1.53469,2.59648
306.87,4.37413,2.12391
315.801,3.7894,1.81508
328.14,3.59665,1.78897
337.18,13.2809,6.35415
350.411,17.0003,6.53578
358.929,17.5891,12.8523
379.583,39.012,19.4798
390.628,37.1563,30.6267
406.96,12.319,24.7909
419.215,4.2045,3.66377
