Time,Control,Treated
12.5631,8.04075,5.13687
75.3516,3.71473,1.60564
106.806,0.517241,0.51463
137.209,0.470219,0.423206
196.278,0.376176,0.470203
227.542,0.470219,0.376192
256.208,0.423197,0.421814
278.791,0.423197,0.468416
288.345,0.423197,0.470219
308.323,0.423197,0.470219
319.611,0.470219,0.474139
328.297,0.470219,0.513334
339.562,0.940439,0.560555
350.869,0.658307,0.564263
361.298,0.564263,0.564263
380.339,1.73981,0.798703
391.532,3.4326,4.68894
410.671,2.91536,11.0163
422.967,0.564263,0.325944
