Time,Control,Treated
13.702,4.20462,3.59231
79.1403,2.40264,1.1792
111.023,0.254125,0.249569
142.101,0.184818,0.138644
169.337,0.184818,0.184107
198.274,0.184818,0.16172
221.68,0.184818,0.161716
253.171,0.184818,0.139236
262.107,0.184818,0.160549
275.291,0.231023,0.184803
286.359,0.207921,0.184818
291.466,0.207921,0.184818
307.22,0.161716,0.206799
315.28,0.30033,0.185973
326.779,0.254125,0.251556
336.937,0.554455,0.381239
350.589,0.369637,0.392788
358.236,0.438944,0.480371
379.804,1.17822,0.465841
390.742,1.87129,2.41251
406.441,2.12541,5.63769
418.201,0.646865,1.36241
