Time,Mean_max_T  ,Mean_min_T ,Rainfall,Percentage_H_at8am ,Percentage_H_at2pm,Percentage_H_at8pm,Mean_daily_P_Evapo
15.5,34,20.2,0,31,17,27,14.7
46.5,32.2,16.5,0,31,19,28,13
77.5,31.5,15.5,0,37,19,26,13.5
108.5,32.9,15.8,0,29,14,20,15.3
139.5,36.6,18.8,1,21,10,15,18.3
170.5,39.9,22.6,1,17,8,14,20.4
201.5,41.2,25.8,4.7,25,13,20,18.9
232.5,41,26,9.2,35,16,24,18.4
263.5,37.6,25.1,67,58,30,42,14
294.5,35.7,24.1,80.2,69,39,55,10.5
325.5,38.1,24.9,18.3,55,29,39,13.2
356.5,38.8,24.7,4.9,36,18,28,15.3
387.5,34,20.2,0,31,17,27,14.7
418.5,32.2,16.5,0,31,19,28,13
